rider_name,rider_surname,points,ovr_rating,sprint_rating,race_rating,rating_l3e,rating_l5e,diff_to_avg_rating
Marc,Marquez,233,79,97,70,85,79,6.7
Alex,Marquez,201,68,78,63,55,62,5.8
Francesco,Bagnaia,140,47,35,53,18,35,4.0
Franco,Morbidelli,115,39,33,42,28,32,3.3
Fabio,"Di Giannantonio",99,33,34,33,32,30,2.9
Johann,Zarco,97,33,16,41,49,39,2.8
Marco,Bezzecchi,79,27,16,32,39,30,2.3
Pedro,Acosta,76,26,16,31,39,32,2.2
Fermin,"Aldeguer ",73,25,26,24,43,38,2.1
Fabio,Quartararo,59,20,22,19,8,23,1.7
Maverick,Viñales,48,16,11,19,22,23,1.4
Ai,Ogura,43,15,10,17,5,10,1.2
Luca,Marini,38,13,2,18,5,10,1.1
Brad,Binder,35,12,3,16,3,9,1.0
Enea,Bastianini,35,12,0,18,6,10,1.0
Jack,Miller,31,10,1,15,11,6,0.9
Alex,Rins,31,10,2,15,13,11,0.9
Joan,Mir,27,9,5,11,14,9,0.8
Raul,Fernandez,25,8,0,13,17,11,0.7
Takaaki,Nakagami,10,3,0,5,9,5,0.3
Lorenzo,Savadori,8,3,0,4,6,4,0.2
Augusto,Fernandez,6,2,0,3,3,2,0.2
Miguel,Oliveira,3,1,0,2,1,1,0.1
Aleix,Espargaro,0,0,0,0,0,0,0.0
Jorge,Martin,0,0,0,0,0,0,0.0
Somkiat,Chantra,0,0,0,0,0,0,0.0
