season_id;season_year;is_current
ae6c6f0d-c652-44f8-94aa-420fc5b3dab4;2025;True
dd12382e-1d9f-46ee-a5f7-c5104db28e43;2024;False
db8dc197-c7b2-4c1b-b3a4-6dc534c023ef;2023;False
db8dc197-c7b2-4c1b-b3a4-6dc534c014ef;2022;False
db8dc197-c7b2-4c1b-b3a4-7dc723c087ed;2021;False
fa729c5c-a34a-40b9-8ebf-2578d9433517;2020;False
cbc5dc8d-3aae-4327-bd88-d1cdeea9b654;2019;False
c0844c71-783c-4f86-abce-a9a67adcc1a9;2018;False
e24e8a8c-4673-498d-86e0-731581d7c586;2017;False
ba354746-c4da-4dc8-8b8e-776fcc43287d;2016;False
cbe871d8-d8fa-47cb-8b63-cabe0015223e;2015;False
bf5c15b5-f062-4a88-a304-29892743108d;2014;False
a0def534-ce1b-492c-bc46-e87e95d28230;2013;False
1b0857d2-afa8-4b59-b876-079c68084527;2012;False
b6cf5327-3c57-41d6-874c-bf330fcfc0fc;2011;False
d5bd3042-f4dc-4fdc-897a-e284d07592e6;2010;False
6487b826-eaaa-43e6-a2d2-4c5cafa948ae;2009;False
46e254dc-f6d6-402c-b7c8-8e7c14469678;2008;False
a3f86bb3-b914-4dc0-984d-e4949a4f037e;2007;False
dbb075a1-44f4-46f5-9f9b-95f5ac24949b;2006;False
6b581433-8531-4c5b-afca-15c7eb27e809;2005;False
6c0e0734-0e32-4c4a-9987-0439449543ab;2004;False
632718a6-f1fe-4f5a-b95d-03b8e7635d70;2003;False
445a3d24-886b-48c2-97f7-73af994ffec0;2002;False
ddcfcd44-02fe-4370-8904-6b953075caeb;2001;False
ef1e2970-0ff9-4933-95ac-404845820462;2000;False
2fd3e95f-5aca-46ba-a8f3-513a36f304b9;1999;False
a61f83c3-8a0f-446f-b48e-b468fb5c6476;1998;False
6288b239-6282-4411-86db-9dbdbf0351b3;1997;False
907eee47-4666-4cd4-b41e-b2278821b8f3;1996;False
5518c28f-48db-423f-8241-b2fe0654ee19;1995;False
8e97de51-4291-4162-8952-e222ee738041;1994;False
42940628-e094-4932-ae21-d4dc4c339ecb;1993;False
7163a8f0-30a6-4265-99af-d0f8d8002265;1992;False
af5f5823-349b-40ba-b3a5-4ecd9f7f167e;1991;False
79ccac73-5093-489c-9d37-e77a005723f9;1990;False
e6dac447-28af-4394-a570-93d33d138cc9;1989;False
b9332591-9e09-441e-938b-9396daf74930;1988;False
1b77d8dc-001c-40cc-8a71-8ccd5ef96214;1987;False
8dd7d599-ac03-4486-8d46-edf2edc3146d;1986;False
d6747634-7a17-4e50-a5a4-71fdcd5b65bb;1985;False
9e96c443-0c9f-4f67-a3a0-d678cfeab933;1984;False
17a1aefb-dd07-4fb9-bf03-05e1efd28435;1983;False
502d13a9-3f2e-4e51-aa0f-0a6de157a170;1982;False
8a939600-760d-440f-8e45-0c18d73631e1;1981;False
a6215585-eab4-4100-9b8a-365f4e056805;1980;False
6339eb76-3390-4312-8c83-43a9512c8c25;1979;False
2ab6e465-bc0d-40a5-be66-fe0dbf0e6ab2;1978;False
f64bbe89-30bb-461c-acdc-cca30b21fed7;1977;False
357e99b8-cc05-4fcd-b11d-2edfbb019809;1976;False
82e72174-0426-4b33-af3f-e2f2e3f413e2;1975;False
7a7c657c-401c-4946-8ee7-f1c66990b608;1974;False
e39a9e8b-7aa8-4d8d-9372-91091f15d98b;1973;False
a13b4cfc-89a9-47d5-9734-af4d61bf8b90;1972;False
14cd72be-713f-474d-a6af-cc57ca58f252;1971;False
fea3cb28-5c7c-4888-8dae-6e851259775a;1970;False
3826b414-4a3b-4674-90e1-94f7ff3dc9bc;1969;False
c01c1c33-6457-4755-b1ba-6fd23bf73563;1968;False
7b04bc94-fa67-472b-88cf-76563ebd5be6;1967;False
05f340dd-61dd-4673-b1a9-1ec6d92b93e3;1966;False
3625dc59-bf95-4c13-96b1-56e3064ff62e;1965;False
3ff1f0bb-074a-4a8b-94b7-eb536c6589ff;1964;False
473191ae-cd39-443c-bf30-920403670c07;1963;False
03b2bfac-203c-4b1f-8656-0cbb8c6d7961;1962;False
690cd02f-f143-4efd-9198-05bbd64bb86a;1961;False
0aaccf7d-e525-4505-85aa-ae6e57c60bd8;1960;False
438fc379-7133-47fa-9b73-d8d217f42b88;1959;False
cb64a721-de5b-4fc4-a543-b15c5e5dcf6a;1958;False
fdbe09f1-381c-43eb-bdf0-c035068f3f32;1957;False
5272bf19-bfe0-4017-b7e7-9754b1ee9aa7;1956;False
e93dc09a-1035-4c14-bd0e-0ae762aad51b;1955;False
c8497a73-5ac9-4e4d-bc69-3e0bd93d7907;1954;False
f3cd4e65-3deb-4fac-9755-3360324b2bed;1953;False
fbfa8959-79b0-4ec1-8ae1-d9082d0233da;1952;False
296ab92c-cd8d-48ba-ace1-aad1455d557f;1951;False
fc8a9643-cc67-4952-b589-d26eb6f9f855;1950;False
72de1fab-255c-4b9a-9d4b-79ce47ab61c5;1949;False
